Category1Title,Category2Title,Category3Title,Category4Title,Category5Title,Period,Val
總計,工業及服務業,-,-,-,6900,8843
總計,工業部門,-,-,-,6900,8205
總計,不動產業,-,-,-,6900,17961
總計,支援服務業,-,-,-,6900,10354
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,6900,13708
總計,用水供應及污染整治業,-,-,-,6900,9103
總計,住宿及餐飲業,-,-,-,6900,7358
總計,批發及零售業,-,-,-,6900,9274
總計,其他服務業,-,-,-,6900,8313
總計,服務業部門,-,-,-,6900,10174
總計,金融及保險業,-,-,-,6900,14103
總計,專業、科學及技術服務業,-,-,-,6900,10902
總計,運輸及倉儲業,-,-,-,6900,10585
總計,電力及燃氣供應業,-,-,-,6900,14944
總計,製造業,-,-,-,6900,8034
總計,營建工程業,-,-,-,6900,8309
總計,醫療保健及社會工作服務業,-,-,-,6900,12724
總計,藝術、娛樂及休閒服務業,-,-,-,6900,8219
總計,礦業及土石採取業,-,-,-,6900,11549
男,工業及服務業,-,-,-,6900,10045
男,工業部門,-,-,-,6900,9057
男,不動產業,-,-,-,6900,20534
男,支援服務業,-,-,-,6900,11596
男,出版、影音製作、傳播及資通訊服務業,-,-,-,6900,14419
男,用水供應及污染整治業,-,-,-,6900,9213
男,住宿及餐飲業,-,-,-,6900,8584
男,批發及零售業,-,-,-,6900,11679
男,其他服務業,-,-,-,6900,9558
男,服務業部門,-,-,-,6900,11912
男,金融及保險業,-,-,-,6900,16680
男,專業、科學及技術服務業,-,-,-,6900,12544
男,運輸及倉儲業,-,-,-,6900,11307
男,電力及燃氣供應業,-,-,-,6900,14936
男,製造業,-,-,-,6900,8929
男,營建工程業,-,-,-,6900,8652
男,醫療保健及社會工作服務業,-,-,-,6900,12957
男,藝術、娛樂及休閒服務業,-,-,-,6900,8174
男,礦業及土石採取業,-,-,-,6900,12699
女,工業及服務業,-,-,-,6900,7148
女,工業部門,-,-,-,6900,7096
女,不動產業,-,-,-,6900,11754
女,支援服務業,-,-,-,6900,6576
女,出版、影音製作、傳播及資通訊服務業,-,-,-,6900,12528
女,用水供應及污染整治業,-,-,-,6900,8528
女,住宿及餐飲業,-,-,-,6900,5511
女,批發及零售業,-,-,-,6900,5821
女,其他服務業,-,-,-,6900,6982
女,服務業部門,-,-,-,6900,7271
女,金融及保險業,-,-,-,6900,10792
女,專業、科學及技術服務業,-,-,-,6900,7614
女,運輸及倉儲業,-,-,-,6900,7733
女,電力及燃氣供應業,-,-,-,6900,15015
女,製造業,-,-,-,6900,7120
女,營建工程業,-,-,-,6900,6572
女,醫療保健及社會工作服務業,-,-,-,6900,12481
女,藝術、娛樂及休閒服務業,-,-,-,6900,8240
女,礦業及土石採取業,-,-,-,6900,5835
總計,工業及服務業,-,-,-,7000,10677
總計,工業部門,-,-,-,7000,9914
總計,不動產業,-,-,-,7000,18724
總計,支援服務業,-,-,-,7000,11401
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7000,15999
總計,用水供應及污染整治業,-,-,-,7000,10800
總計,住宿及餐飲業,-,-,-,7000,8501
總計,批發及零售業,-,-,-,7000,11488
總計,其他服務業,-,-,-,7000,8462
總計,服務業部門,-,-,-,7000,12186
總計,金融及保險業,-,-,-,7000,17467
總計,專業、科學及技術服務業,-,-,-,7000,12463
總計,運輸及倉儲業,-,-,-,7000,12696
總計,電力及燃氣供應業,-,-,-,7000,19157
總計,製造業,-,-,-,7000,9555
總計,營建工程業,-,-,-,7000,10764
總計,醫療保健及社會工作服務業,-,-,-,7000,14502
總計,藝術、娛樂及休閒服務業,-,-,-,7000,10033
總計,礦業及土石採取業,-,-,-,7000,14751
男,工業及服務業,-,-,-,7000,12550
男,工業部門,-,-,-,7000,11604
男,不動產業,-,-,-,7000,21313
男,支援服務業,-,-,-,7000,12953
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7000,16691
男,用水供應及污染整治業,-,-,-,7000,11268
男,住宿及餐飲業,-,-,-,7000,10108
男,批發及零售業,-,-,-,7000,14359
男,其他服務業,-,-,-,7000,10166
男,服務業部門,-,-,-,7000,14340
男,金融及保險業,-,-,-,7000,20729
男,專業、科學及技術服務業,-,-,-,7000,14989
男,運輸及倉儲業,-,-,-,7000,13572
男,電力及燃氣供應業,-,-,-,7000,19463
男,製造業,-,-,-,7000,11426
男,營建工程業,-,-,-,7000,11163
男,醫療保健及社會工作服務業,-,-,-,7000,13966
男,藝術、娛樂及休閒服務業,-,-,-,7000,10495
男,礦業及土石採取業,-,-,-,7000,16200
女,工業及服務業,-,-,-,7000,8051
女,工業部門,-,-,-,7000,7629
女,不動產業,-,-,-,7000,12463
女,支援服務業,-,-,-,7000,7527
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7000,14830
女,用水供應及污染整治業,-,-,-,7000,8593
女,住宿及餐飲業,-,-,-,7000,6858
女,批發及零售業,-,-,-,7000,7762
女,其他服務業,-,-,-,7000,6757
女,服務業部門,-,-,-,7000,8939
女,金融及保險業,-,-,-,7000,13433
女,專業、科學及技術服務業,-,-,-,7000,8469
女,運輸及倉儲業,-,-,-,7000,9376
女,電力及燃氣供應業,-,-,-,7000,16753
女,製造業,-,-,-,7000,7567
女,營建工程業,-,-,-,7000,8421
女,醫療保健及社會工作服務業,-,-,-,7000,15039
女,藝術、娛樂及休閒服務業,-,-,-,7000,9673
女,礦業及土石採取業,-,-,-,7000,7182
總計,工業及服務業,-,-,-,7100,11472
總計,工業部門,-,-,-,7100,10771
總計,不動產業,-,-,-,7100,20574
總計,支援服務業,-,-,-,7100,13109
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7100,16190
總計,用水供應及污染整治業,-,-,-,7100,12191
總計,住宿及餐飲業,-,-,-,7100,8730
總計,批發及零售業,-,-,-,7100,11729
總計,其他服務業,-,-,-,7100,9446
總計,服務業部門,-,-,-,7100,12803
總計,金融及保險業,-,-,-,7100,19269
總計,專業、科學及技術服務業,-,-,-,7100,13997
總計,運輸及倉儲業,-,-,-,7100,13957
總計,電力及燃氣供應業,-,-,-,7100,20612
總計,製造業,-,-,-,7100,10455
總計,營建工程業,-,-,-,7100,11415
總計,醫療保健及社會工作服務業,-,-,-,7100,13360
總計,藝術、娛樂及休閒服務業,-,-,-,7100,8943
總計,礦業及土石採取業,-,-,-,7100,15198
男,工業及服務業,-,-,-,7100,13555
男,工業部門,-,-,-,7100,12698
男,不動產業,-,-,-,7100,23796
男,支援服務業,-,-,-,7100,14844
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7100,17776
男,用水供應及污染整治業,-,-,-,7100,12655
男,住宿及餐飲業,-,-,-,7100,10523
男,批發及零售業,-,-,-,7100,14457
男,其他服務業,-,-,-,7100,10758
男,服務業部門,-,-,-,7100,15125
男,金融及保險業,-,-,-,7100,22920
男,專業、科學及技術服務業,-,-,-,7100,16254
男,運輸及倉儲業,-,-,-,7100,14896
男,電力及燃氣供應業,-,-,-,7100,20873
男,製造業,-,-,-,7100,12651
男,營建工程業,-,-,-,7100,11758
男,醫療保健及社會工作服務業,-,-,-,7100,14951
男,藝術、娛樂及休閒服務業,-,-,-,7100,9644
男,礦業及土石採取業,-,-,-,7100,16677
女,工業及服務業,-,-,-,7100,8670
女,工業部門,-,-,-,7100,8252
女,不動產業,-,-,-,7100,13400
女,支援服務業,-,-,-,7100,9262
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7100,13604
女,用水供應及污染整治業,-,-,-,7100,9910
女,住宿及餐飲業,-,-,-,7100,7125
女,批發及零售業,-,-,-,7100,8420
女,其他服務業,-,-,-,7100,8332
女,服務業部門,-,-,-,7100,9504
女,金融及保險業,-,-,-,7100,14932
女,專業、科學及技術服務業,-,-,-,7100,10171
女,運輸及倉儲業,-,-,-,7100,10420
女,電力及燃氣供應業,-,-,-,7100,18449
女,製造業,-,-,-,7100,8176
女,營建工程業,-,-,-,7100,9379
女,醫療保健及社會工作服務業,-,-,-,7100,11936
女,藝術、娛樂及休閒服務業,-,-,-,7100,8309
女,礦業及土石採取業,-,-,-,7100,7441
總計,工業及服務業,-,-,-,7200,12122
總計,工業部門,-,-,-,7200,11489
總計,不動產業,-,-,-,7200,21797
總計,支援服務業,-,-,-,7200,12694
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7200,16362
總計,用水供應及污染整治業,-,-,-,7200,12678
總計,住宿及餐飲業,-,-,-,7200,9494
總計,批發及零售業,-,-,-,7200,12232
總計,其他服務業,-,-,-,7200,9829
總計,服務業部門,-,-,-,7200,13330
總計,金融及保險業,-,-,-,7200,19134
總計,專業、科學及技術服務業,-,-,-,7200,15544
總計,運輸及倉儲業,-,-,-,7200,14239
總計,電力及燃氣供應業,-,-,-,7200,21678
總計,製造業,-,-,-,7200,11121
總計,營建工程業,-,-,-,7200,12718
總計,醫療保健及社會工作服務業,-,-,-,7200,14119
總計,藝術、娛樂及休閒服務業,-,-,-,7200,9871
總計,礦業及土石採取業,-,-,-,7200,14822
男,工業及服務業,-,-,-,7200,14310
男,工業部門,-,-,-,7200,13537
男,不動產業,-,-,-,7200,25459
男,支援服務業,-,-,-,7200,14260
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7200,16879
男,用水供應及污染整治業,-,-,-,7200,13132
男,住宿及餐飲業,-,-,-,7200,11156
男,批發及零售業,-,-,-,7200,15033
男,其他服務業,-,-,-,7200,11131
男,服務業部門,-,-,-,7200,15741
男,金融及保險業,-,-,-,7200,22802
男,專業、科學及技術服務業,-,-,-,7200,18200
男,運輸及倉儲業,-,-,-,7200,15330
男,電力及燃氣供應業,-,-,-,7200,21943
男,製造業,-,-,-,7200,13362
男,營建工程業,-,-,-,7200,13291
男,醫療保健及社會工作服務業,-,-,-,7200,18994
男,藝術、娛樂及休閒服務業,-,-,-,7200,10830
男,礦業及土石採取業,-,-,-,7200,16008
女,工業及服務業,-,-,-,7200,9199
女,工業部門,-,-,-,7200,8823
女,不動產業,-,-,-,7200,13711
女,支援服務業,-,-,-,7200,9287
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7200,15068
女,用水供應及污染整治業,-,-,-,7200,10367
女,住宿及餐飲業,-,-,-,7200,8035
女,批發及零售業,-,-,-,7200,8770
女,其他服務業,-,-,-,7200,8746
女,服務業部門,-,-,-,7200,9948
女,金融及保險業,-,-,-,7200,14996
女,專業、科學及技術服務業,-,-,-,7200,11266
女,運輸及倉儲業,-,-,-,7200,10302
女,電力及燃氣供應業,-,-,-,7200,19404
女,製造業,-,-,-,7200,8780
女,營建工程業,-,-,-,7200,9297
女,醫療保健及社會工作服務業,-,-,-,7200,11592
女,藝術、娛樂及休閒服務業,-,-,-,7200,8921
女,礦業及土石採取業,-,-,-,7200,7699
總計,工業及服務業,-,-,-,7300,13409
總計,工業部門,-,-,-,7300,12543
總計,不動產業,-,-,-,7300,22150
總計,支援服務業,-,-,-,7300,13638
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7300,18111
總計,用水供應及污染整治業,-,-,-,7300,13102
總計,住宿及餐飲業,-,-,-,7300,10632
總計,批發及零售業,-,-,-,7300,14419
總計,其他服務業,-,-,-,7300,10235
總計,服務業部門,-,-,-,7300,15116
總計,金融及保險業,-,-,-,7300,21505
總計,專業、科學及技術服務業,-,-,-,7300,17195
總計,運輸及倉儲業,-,-,-,7300,15183
總計,電力及燃氣供應業,-,-,-,7300,25503
總計,製造業,-,-,-,7300,12151
總計,營建工程業,-,-,-,7300,14122
總計,醫療保健及社會工作服務業,-,-,-,7300,16683
總計,藝術、娛樂及休閒服務業,-,-,-,7300,10277
總計,礦業及土石採取業,-,-,-,7300,15773
男,工業及服務業,-,-,-,7300,15800
男,工業部門,-,-,-,7300,14819
男,不動產業,-,-,-,7300,25919
男,支援服務業,-,-,-,7300,15243
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7300,18874
男,用水供應及污染整治業,-,-,-,7300,13447
男,住宿及餐飲業,-,-,-,7300,12791
男,批發及零售業,-,-,-,7300,17425
男,其他服務業,-,-,-,7300,11950
男,服務業部門,-,-,-,7300,17696
男,金融及保險業,-,-,-,7300,25511
男,專業、科學及技術服務業,-,-,-,7300,20310
男,運輸及倉儲業,-,-,-,7300,16304
男,電力及燃氣供應業,-,-,-,7300,25889
男,製造業,-,-,-,7300,14581
男,營建工程業,-,-,-,7300,14826
男,醫療保健及社會工作服務業,-,-,-,7300,22812
男,藝術、娛樂及休閒服務業,-,-,-,7300,10959
男,礦業及土石採取業,-,-,-,7300,16787
女,工業及服務業,-,-,-,7300,10227
女,工業部門,-,-,-,7300,9563
女,不動產業,-,-,-,7300,13796
女,支援服務業,-,-,-,7300,10113
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7300,16171
女,用水供應及污染整治業,-,-,-,7300,11279
女,住宿及餐飲業,-,-,-,7300,8788
女,批發及零售業,-,-,-,7300,10719
女,其他服務業,-,-,-,7300,8917
女,服務業部門,-,-,-,7300,11571
女,金融及保險業,-,-,-,7300,17363
女,專業、科學及技術服務業,-,-,-,7300,12330
女,運輸及倉儲業,-,-,-,7300,11056
女,電力及燃氣供應業,-,-,-,7300,22165
女,製造業,-,-,-,7300,9535
女,營建工程業,-,-,-,7300,9523
女,醫療保健及社會工作服務業,-,-,-,7300,13576
女,藝術、娛樂及休閒服務業,-,-,-,7300,9644
女,礦業及土石採取業,-,-,-,7300,8943
總計,工業及服務業,-,-,-,7400,13980
總計,工業部門,-,-,-,7400,13099
總計,不動產業,-,-,-,7400,23135
總計,支援服務業,-,-,-,7400,14452
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7400,20481
總計,用水供應及污染整治業,-,-,-,7400,13977
總計,住宿及餐飲業,-,-,-,7400,10619
總計,批發及零售業,-,-,-,7400,14413
總計,其他服務業,-,-,-,7400,10351
總計,服務業部門,-,-,-,7400,15716
總計,金融及保險業,-,-,-,7400,23247
總計,專業、科學及技術服務業,-,-,-,7400,17896
總計,運輸及倉儲業,-,-,-,7400,16526
總計,電力及燃氣供應業,-,-,-,7400,29007
總計,製造業,-,-,-,7400,12677
總計,營建工程業,-,-,-,7400,14763
總計,醫療保健及社會工作服務業,-,-,-,7400,17583
總計,藝術、娛樂及休閒服務業,-,-,-,7400,10076
總計,礦業及土石採取業,-,-,-,7400,16322
男,工業及服務業,-,-,-,7400,16580
男,工業部門,-,-,-,7400,15593
男,不動產業,-,-,-,7400,27683
男,支援服務業,-,-,-,7400,16276
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7400,21483
男,用水供應及污染整治業,-,-,-,7400,14237
男,住宿及餐飲業,-,-,-,7400,12717
男,批發及零售業,-,-,-,7400,17614
男,其他服務業,-,-,-,7400,12185
男,服務業部門,-,-,-,7400,18519
男,金融及保險業,-,-,-,7400,27148
男,專業、科學及技術服務業,-,-,-,7400,21079
男,運輸及倉儲業,-,-,-,7400,17611
男,電力及燃氣供應業,-,-,-,7400,29739
男,製造業,-,-,-,7400,15340
男,營建工程業,-,-,-,7400,15468
男,醫療保健及社會工作服務業,-,-,-,7400,24800
男,藝術、娛樂及休閒服務業,-,-,-,7400,10941
男,礦業及土石採取業,-,-,-,7400,17525
女,工業及服務業,-,-,-,7400,10526
女,工業部門,-,-,-,7400,9795
女,不動產業,-,-,-,7400,14453
女,支援服務業,-,-,-,7400,10690
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7400,17944
女,用水供應及污染整治業,-,-,-,7400,12623
女,住宿及餐飲業,-,-,-,7400,8874
女,批發及零售業,-,-,-,7400,10576
女,其他服務業,-,-,-,7400,8907
女,服務業部門,-,-,-,7400,11973
女,金融及保險業,-,-,-,7400,19341
女,專業、科學及技術服務業,-,-,-,7400,13195
女,運輸及倉儲業,-,-,-,7400,12420
女,電力及燃氣供應業,-,-,-,7400,22654
女,製造業,-,-,-,7400,9752
女,營建工程業,-,-,-,7400,10139
女,醫療保健及社會工作服務業,-,-,-,7400,13845
女,藝術、娛樂及休閒服務業,-,-,-,7400,9303
女,礦業及土石採取業,-,-,-,7400,9022
總計,工業及服務業,-,-,-,7500,15118
總計,工業部門,-,-,-,7500,14247
總計,不動產業,-,-,-,7500,22068
總計,支援服務業,-,-,-,7500,15948
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7500,23187
總計,用水供應及污染整治業,-,-,-,7500,15356
總計,住宿及餐飲業,-,-,-,7500,10525
總計,批發及零售業,-,-,-,7500,15787
總計,其他服務業,-,-,-,7500,10323
總計,服務業部門,-,-,-,7500,16871
總計,金融及保險業,-,-,-,7500,24565
總計,專業、科學及技術服務業,-,-,-,7500,18417
總計,運輸及倉儲業,-,-,-,7500,17469
總計,電力及燃氣供應業,-,-,-,7500,28998
總計,製造業,-,-,-,7500,13960
總計,營建工程業,-,-,-,7500,15037
總計,醫療保健及社會工作服務業,-,-,-,7500,19142
總計,藝術、娛樂及休閒服務業,-,-,-,7500,10869
總計,礦業及土石採取業,-,-,-,7500,17181
男,工業及服務業,-,-,-,7500,17793
男,工業部門,-,-,-,7500,16865
男,不動產業,-,-,-,7500,27103
男,支援服務業,-,-,-,7500,18002
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7500,24470
男,用水供應及污染整治業,-,-,-,7500,15661
男,住宿及餐飲業,-,-,-,7500,12245
男,批發及零售業,-,-,-,7500,18844
男,其他服務業,-,-,-,7500,12181
男,服務業部門,-,-,-,7500,19682
男,金融及保險業,-,-,-,7500,28656
男,專業、科學及技術服務業,-,-,-,7500,21644
男,運輸及倉儲業,-,-,-,7500,18451
男,電力及燃氣供應業,-,-,-,7500,29523
男,製造業,-,-,-,7500,16858
男,營建工程業,-,-,-,7500,15753
男,醫療保健及社會工作服務業,-,-,-,7500,27319
男,藝術、娛樂及休閒服務業,-,-,-,7500,12006
男,礦業及土石採取業,-,-,-,7500,18468
女,工業及服務業,-,-,-,7500,11589
女,工業部門,-,-,-,7500,10758
女,不動產業,-,-,-,7500,13533
女,支援服務業,-,-,-,7500,11956
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7500,19979
女,用水供應及污染整治業,-,-,-,7500,13751
女,住宿及餐飲業,-,-,-,7500,9168
女,批發及零售業,-,-,-,7500,12167
女,其他服務業,-,-,-,7500,8905
女,服務業部門,-,-,-,7500,13232
女,金融及保險業,-,-,-,7500,20632
女,專業、科學及技術服務業,-,-,-,7500,14046
女,運輸及倉儲業,-,-,-,7500,13689
女,電力及燃氣供應業,-,-,-,7500,24309
女,製造業,-,-,-,7500,10743
女,營建工程業,-,-,-,7500,10342
女,醫療保健及社會工作服務業,-,-,-,7500,15015
女,藝術、娛樂及休閒服務業,-,-,-,7500,9947
女,礦業及土石採取業,-,-,-,7500,9559
總計,工業及服務業,-,-,-,7600,16496
總計,工業部門,-,-,-,7600,15563
總計,不動產業,-,-,-,7600,23788
總計,支援服務業,-,-,-,7600,16288
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7600,24686
總計,用水供應及污染整治業,-,-,-,7600,15752
總計,住宿及餐飲業,-,-,-,7600,11151
總計,批發及零售業,-,-,-,7600,17196
總計,其他服務業,-,-,-,7600,11460
總計,服務業部門,-,-,-,7600,18338
總計,金融及保險業,-,-,-,7600,28054
總計,專業、科學及技術服務業,-,-,-,7600,20490
總計,運輸及倉儲業,-,-,-,7600,18390
總計,電力及燃氣供應業,-,-,-,7600,30242
總計,製造業,-,-,-,7600,15333
總計,營建工程業,-,-,-,7600,16045
總計,醫療保健及社會工作服務業,-,-,-,7600,20453
總計,藝術、娛樂及休閒服務業,-,-,-,7600,11854
總計,礦業及土石採取業,-,-,-,7600,17863
男,工業及服務業,-,-,-,7600,19315
男,工業部門,-,-,-,7600,18338
男,不動產業,-,-,-,7600,29127
男,支援服務業,-,-,-,7600,18225
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7600,26051
男,用水供應及污染整治業,-,-,-,7600,16127
男,住宿及餐飲業,-,-,-,7600,13191
男,批發及零售業,-,-,-,7600,20351
男,其他服務業,-,-,-,7600,13921
男,服務業部門,-,-,-,7600,21316
男,金融及保險業,-,-,-,7600,32054
男,專業、科學及技術服務業,-,-,-,7600,24333
男,運輸及倉儲業,-,-,-,7600,19457
男,電力及燃氣供應業,-,-,-,7600,30676
男,製造業,-,-,-,7600,18463
男,營建工程業,-,-,-,7600,16772
男,醫療保健及社會工作服務業,-,-,-,7600,31134
男,藝術、娛樂及休閒服務業,-,-,-,7600,13238
男,礦業及土石採取業,-,-,-,7600,19021
女,工業及服務業,-,-,-,7600,12777
女,工業部門,-,-,-,7600,11798
女,不動產業,-,-,-,7600,15145
女,支援服務業,-,-,-,7600,12707
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7600,21334
女,用水供應及污染整治業,-,-,-,7600,13813
女,住宿及餐飲業,-,-,-,7600,9630
女,批發及零售業,-,-,-,7600,13546
女,其他服務業,-,-,-,7600,9572
女,服務業部門,-,-,-,7600,14622
女,金融及保險業,-,-,-,7600,24514
女,專業、科學及技術服務業,-,-,-,7600,15517
女,運輸及倉儲業,-,-,-,7600,14234
女,電力及燃氣供應業,-,-,-,7600,26100
女,製造業,-,-,-,7600,11790
女,營建工程業,-,-,-,7600,11221
女,醫療保健及社會工作服務業,-,-,-,7600,15309
女,藝術、娛樂及休閒服務業,-,-,-,7600,10719
女,礦業及土石採取業,-,-,-,7600,10266
總計,工業及服務業,-,-,-,7700,18399
總計,工業部門,-,-,-,7700,17282
總計,不動產業,-,-,-,7700,25924
總計,支援服務業,-,-,-,7700,17197
總計,出版、影音製作、傳播及資通訊服務業,-,-,-,7700,27544
總計,用水供應及污染整治業,-,-,-,7700,20688
總計,住宿及餐飲業,-,-,-,7700,12142
總計,批發及零售業,-,-,-,7700,19024
總計,其他服務業,-,-,-,7700,12829
總計,服務業部門,-,-,-,7700,20441
總計,金融及保險業,-,-,-,7700,32362
總計,專業、科學及技術服務業,-,-,-,7700,22883
總計,運輸及倉儲業,-,-,-,7700,20173
總計,電力及燃氣供應業,-,-,-,7700,34495
總計,製造業,-,-,-,7700,16987
總計,營建工程業,-,-,-,7700,17879
總計,醫療保健及社會工作服務業,-,-,-,7700,22887
總計,藝術、娛樂及休閒服務業,-,-,-,7700,13207
總計,礦業及土石採取業,-,-,-,7700,19762
男,工業及服務業,-,-,-,7700,21549
男,工業部門,-,-,-,7700,20494
男,不動產業,-,-,-,7700,31420
男,支援服務業,-,-,-,7700,19032
男,出版、影音製作、傳播及資通訊服務業,-,-,-,7700,29327
男,用水供應及污染整治業,-,-,-,7700,21430
男,住宿及餐飲業,-,-,-,7700,14611
男,批發及零售業,-,-,-,7700,22278
男,其他服務業,-,-,-,7700,15845
男,服務業部門,-,-,-,7700,23577
男,金融及保險業,-,-,-,7700,37279
男,專業、科學及技術服務業,-,-,-,7700,26948
男,運輸及倉儲業,-,-,-,7700,21359
男,電力及燃氣供應業,-,-,-,7700,35063
男,製造業,-,-,-,7700,20591
男,營建工程業,-,-,-,7700,18766
男,醫療保健及社會工作服務業,-,-,-,7700,34319
男,藝術、娛樂及休閒服務業,-,-,-,7700,15089
男,礦業及土石採取業,-,-,-,7700,21021
女,工業及服務業,-,-,-,7700,14260
女,工業部門,-,-,-,7700,12884
女,不動產業,-,-,-,7700,17260
女,支援服務業,-,-,-,7700,13923
女,出版、影音製作、傳播及資通訊服務業,-,-,-,7700,23394
女,用水供應及污染整治業,-,-,-,7700,17266
女,住宿及餐飲業,-,-,-,7700,10330
女,批發及零售業,-,-,-,7700,15258
